anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
2010,10,6,Cuartos de Final,10,5,3,1,1,9,4,5,t
2014,10,4,Partido 3er Puesto,11,7,3,2,2,11,14,-3,t
2018,10,6,Cuartos de Final,10,5,3,1,1,8,3,5,t
2022,10,7,Cuartos de Final,10,5,3,1,1,8,3,5,t
2026,10,,clasificado,0,0,0,0,0,0,0,0,t
1930,11,,no participo,,,,,,,,,f
1934,11,,no participo,,,,,,,,,f
1938,11,,no participo,,,,,,,,,f
1950,11,,no participo,,,,,,,,,f
1954,11,,no participo,,,,,,,,,f
1958,11,,no participo,,,,,,,,,f
1962,11,15,Grupos 1ra Ronda,1,3,0,1,2,1,7,-6,t
1966,11,15,Grupos 1ra Ronda,0,3,0,0,3,1,8,-7,t
1970,11,13,Grupos 1ra Ronda,1,3,0,1,2,5,9,-4,t
1974,11,12,Grupos 1ra Ronda,2,3,0,2,1,2,5,-3,t
1978,11,,no participo,,,,,,,,,f
1982,11,,no participo,,,,,,,,,f
1986,11,15,Octavos de Final,2,4,0,2,2,2,6,-4,t
1990,11,,no participo,,,,,,,,,f
1994,11,4,Partido 3er Puesto,10,7,3,1,3,10,11,-1,t
1998,11,29,Grupos 1ra Ronda,1,3,0,1,2,1,7,-6,t
2002,11,,no participo,,,,,,,,,f
2006,11,,no participo,,,,,,,,,f
2010,11,,no participo,,,,,,,,,f
2014,11,,no participo,,,,,,,,,f
2018,11,,no participo,,,,,,,,,f
2022,11,,no participo,,,,,,,,,f
2026,11,,no participo,,,,,,,,,f
1930,13,,no participo,,,,,,,,,f
1934,13,,no participo,,,,,,,,,f
1938,13,,no participo,,,,,,,,,f
1950,13,,no participo,,,,,,,,,f
1954,13,,no participo,,,,,,,,,f
1958,13,,no participo,,,,,,,,,f
1962,13,,no participo,,,,,,,,,f
1966,13,,no participo,,,,,,,,,f
1970,13,,no participo,,,,,,,,,f
1974,13,,no participo,,,,,,,,,f
1978,13,,no participo,,,,,,,,,f
1982,13,,no participo,,,,,,,,,f
1986,13,,no participo,,,,,,,,,f
1990,13,,no participo,,,,,,,,,f
1994,13,,no participo,,,,,,,,,f
1998,13,,no participo,,,,,,,,,f
2002,13,,no participo,,,,,,,,,f
2006,13,,no participo,,,,,,,,,f
2010,13,,no participo,,,,,,,,,f
2014,13,,no participo,,,,,,,,,f
2018,13,,no participo,,,,,,,,,f
2022,13,,no participo,,,,,,,,,f
2026,13,,clasificado,0,0,0,0,0,0,0,0,t
1930,14,,no participo,,,,,,,,,f
1934,14,,no participo,,,,,,,,,f
1938,14,,no participo,,,,,,,,,f
1950,14,,no participo,,,,,,,,,f
1954,14,,no participo,,,,,,,,,f
1958,14,,no participo,,,,,,,,,f
1962,14,,no participo,,,,,,,,,f
1966,14,,no participo,,,,,,,,,f
1970,14,,no participo,,,,,,,,,f
1974,14,,no participo,,,,,,,,,f
1978,14,,no participo,,,,,,,,,f
1982,14,17,Grupos 1ra Ronda,3,3,0,3,0,1,1,0,t
1986,14,,no participo,,,,,,,,,f
1990,14,7,Cuartos de Final,6,5,3,0,2,7,9,-2,t
1994,14,22,Grupos 1ra Ronda,1,3,0,1,2,3,11,-8,t
1998,14,25,Grupos 1ra Ronda,2,3,0,2,1,2,5,-3,t
2002,14,20,Grupos 1ra Ronda,4,3,1,1,1,2,3,-1,t
2006,14,,no participo,,,,,,,,,f
2010,14,31,Grupos 1ra Ronda,0,3,0,0,3,2,5,-3,t
2014,14,32,Grupos 1ra Ronda,0,3,0,0,3,1,9,-8,t
2018,14,,no participo,,,,,,,,,f
2022,14,19,Grupos 1ra Ronda,4,3,1,1,1,4,4,0,t
2026,14,,no participo,,,,,,,,,f
1930,15,,no participo,,,,,,,,,f
1934,15,,no participo,,,,,,,,,f
1938,15,,no participo,,,,,,,,,f
1950,15,,no participo,,,,,,,,,f
1954,15,,no participo,,,,,,,,,f
1958,15,,no participo,,,,,,,,,f
1962,15,,no participo,,,,,,,,,f
1966,15,,no participo,,,,,,,,,f
1970,15,,no participo,,,,,,,,,f
1974,15,,no participo,,,,,,,,,f
1978,15,,no participo,,,,,,,,,f
1982,15,,no participo,,,,,,,,,f
1986,15,24,Grupos 1ra Ronda,0,3,0,0,3,0,5,-5,t
1990,15,,no participo,,,,,,,,,f
1994,15,,no participo,,,,,,,,,f
1998,15,,no participo,,,,,,,,,f
2002,15,,no participo,,,,,,,,,f
2006,15,,no participo,,,,,,,,,f
2010,15,,no participo,,,,,,,,,f
2014,15,,no participo,,,,,,,,,f
2018,15,,no participo,,,,,,,,,f
2022,15,31,Grupos 1ra Ronda,0,3,0,0,3,2,7,-5,t
2026,15,,clasificado,0,0,0,0,0,0,0,0,t
1930,16,,no participo,,,,,,,,,f
1934,16,,no participo,,,,,,,,,f
1938,16,,no participo,,,,,,,,,f
1950,16,,no participo,,,,,,,,,f
1954,16,,no participo,,,,,,,,,f
1958,16,,no participo,,,,,,,,,f
1962,16,,no participo,,,,,,,,,f
1966,16,,no participo,,,,,,,,,f
1970,16,,no participo,,,,,,,,,f
1974,16,,no participo,,,,,,,,,f
1978,16,,no participo,,,,,,,,,f
1982,16,,no participo,,,,,,,,,f
1986,16,,no participo,,,,,,,,,f
1990,16,,no participo,,,,,,,,,f
1994,16,,no participo,,,,,,,,,f
1998,16,,no participo,,,,,,,,,f
2002,16,,no participo,,,,,,,,,f
2006,16,,no participo,,,,,,,,,f
2010,16,,no participo,,,,,,,,,f
2014,16,,no participo,,,,,,,,,f
2018,16,,no participo,,,,,,,,,f
2022,16,32,Grupos 1ra Ronda,0,3,0,0,3,1,7,-6,t
2026,16,,clasificado,0,0,0,0,0,0,0,0,t
1930,17,5,Grupos 1ra Ronda,4,3,2,0,1,5,3,2,t
1934,17,,no participo,,,,,,,,,f
1938,17,,no participo,,,,,,,,,f
1950,17,9,Grupos 1ra Ronda,2,3,1,0,2,5,6,-1,t
1954,17,,no participo,,,,,,,,,f
1958,17,,no participo,,,,,,,,,f
