jugador_id,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,altura,apodo,sitio_web,redes_sociales
151,Raphaël Guerreiro,,22-Dic-1993,,"1.70 m / 5' 7""",,,
152,Manuel Akanji,,19-Jul-1995,,"1.86 m / 6' 1""",,,
153,Nahuel Molina,,06-Apr-1998,,"1.78 m / 5' 10""",,,
154,Wout Weghorst,,07-Ago-1992,,"1.97 m / 6' 6""",,,
155,Bruno Petkovic,,16-Sep-1994,,"1.93 m / 6' 4""",,,
156,Aurélien Tchouaméni,,27-Ene-2000,,"1.87 m / 6' 2""",,,
157,Théo Hernandez,,06-Oct-1997,,"1.84 m / 6' 0""",,,
158,Randal Kolo Muani,,05-Dic-1998,,"1.87 m / 6' 2""",,,
159,Josko Gvardiol,,23-Ene-2002,,"1.85 m / 6' 1""",,,
160,Achraf Dari,,06-May-1999,,"1.90 m / 6' 3""",,,
161,Mislav Orsic,,29-Dic-1992,,"1.79 m / 5' 10""",,,
162,Yury Gazinsky,,20-Jul-1989,,"1.84 m / 6' 0""",,,
163,Denis Cheryshev,,26-Dic-1990,,"1.79 m / 5' 10""",,,
164,Artem Dzyuba,,22-Ago-1988,,"1.96 m / 6' 5""",,,
165,Aleksandr Golovin,,30-May-1996,,"1.80 m / 5' 10""",,,
166,José María Giménez,,20-Ene-1995,,"1.85 m / 6' 1""",,,
167,Diego Costa,,07-Oct-1988,,"1.88 m / 6' 2""",,,
168,Nacho,,18-Ene-1990,,"1.79 m / 5' 10""",,,
169,Aziz Bouhaddouz (en contra),,,,,,,
170,Mile Jedinak,,03-Ago-1984,,"1.88 m / 6' 2""",,,
171,Aziz Behich (en contra),,,,,,,
172,Yussuf Yurary Poulsen,,15-Jun-1994,,"1.93 m / 6' 4""",,,
173,Alfred Finnbogason,,01-Feb-1989,,"1.84 m / 6' 0""",,,
174,Oghenekaro Etebo (en contra),,,,,,,
175,Philippe Coutinho,,12-Jun-1992,,"1.72 m / 5' 7""",,,
176,Steven Zuber,,17-Ago-1991,,"1.82 m / 5' 11""",,,
177,Aleksandar Kolarov,,10-Nov-1985,,"1.87 m / 6' 1""",,,
178,Hirving Lozano,,30-Jul-1995,,"1.76 m / 5' 9""",,,
179,Andreas Granqvist,,16-Apr-1985,,"1.92 m / 6' 3""",,,
180,Dries Mertens,,06-May-1987,,"1.69 m / 5' 7""",,,
181,Romelu Lukaku,,13-May-1993,,"1.90 m / 6' 3""",,,
182,Ferjani Sassi,,18-Mar-1992,,"1.86 m / 6' 1""",,,
183,Thiago Cionek (en contra),,,,,,,
184,M'Baye Niang,,19-Dic-1994,,"1.84 m / 6' 0""",,,
185,Grzegorz Krychowiak,,29-Ene-1990,,"1.86 m / 6' 1""",,,
186,Shinji Kagawa,,17-Mar-1989,,"1.72 m / 5' 7""",,,
187,Juan Quintero,,18-Ene-1993,,"1.69 m / 5' 6""",,,
188,Yuya Osako,,18-May-1990,,"1.82 m / 5' 11""",,,
189,Ahmed Fathy (en contra),,,,,,,
190,Mohamed Salah,,15-Jun-1992,,"1.75 m / 5' 9""",,,
191,Christian Eriksen,,14-Feb-1992,,"1.81 m / 5' 11""",,,
192,Ante Rebic,,21-Sep-1993,,"1.85 m / 6' 0""",,,
193,Ivan Rakitic,,10-Mar-1988,,"1.84 m / 6' 0""",,,
194,Ahmed Musa,,14-Oct-1992,,"1.70 m / 5' 6""",,,
195,Granit Xhaka,,27-Sep-1992,,"1.83 m / 6' 0""",,,
196,Ola Toivonen,,03-Jul-1986,,"1.91 m / 6' 3""",,,
197,Marco Reus,,31-May-1989,,"1.80 m / 5' 10""",,,
198,Toni Kroos,,04-Ene-1990,,"1.82 m / 6' 0""",,,
199,Heung-Min Son,,08-Jul-1992,,"1.83 m / 6' 0""",,,
200,Eden Hazard,,07-Ene-1991,,"1.73 m / 5' 8""",,,
201,Dylan Bronn,,19-Jun-1995,,"1.86 m / 6' 1""",,,
202,John Stones,,28-May-1994,,"1.88 m / 6' 2""",,,
203,Jesse Lingard,,15-Dic-1992,,"1.75 m / 5' 8""",,,
204,Felipe Baloy,,24-Feb-1981,,"1.84 m / 6' 0""",,,
205,Yerry Mina,,23-Sep-1994,,"1.95 m / 6' 4""",,,
206,Radamel Falcao,,10-Feb-1986,,"1.77 m / 5' 9""",,,
207,Juan Guillermo Cuadrado,,26-May-1988,,"1.76 m / 5' 9""",,,
208,Sadio Mané,,10-Apr-1992,,"1.74 m / 5' 9""",,,
209,Takashi Inui,,02-Jun-1988,,"1.69 m / 5' 6""",,,
210,Moussa Wagué,,04-Oct-1998,,"1.77 m / 5' 9""",,,
211,Keisuke Honda,,13-Jun-1986,,"1.82 m / 5' 11""",,,
212,Denis Cheryshev (en contra),,,,,,,
213,Salman Al-Faraj,,01-Ago-1989,,"1.80 m / 5' 11""",,,
214,Ricardo Quaresma,,26-Sep-1983,,"1.75 m / 5' 8""",,,
215,Karim Ansarifard,,03-Apr-1990,,"1.86 m / 6' 1""",,,
216,Khalid Boutaïb,,24-Apr-1987,,"1.90 m / 6' 2""",,,
217,Isco,,21-Apr-1992,,"1.76 m / 5' 9""",,,
218,Iago Aspas,,01-Ago-1987,,"1.76 m / 5' 9""",,,
219,André Carrillo,,14-Jun-1991,,"1.81 m / 5' 11""",,,
220,Paolo Guerrero,,01-Ene-1984,,"1.85 m / 6' 0""",,,
221,Victor Moses,,12-Dic-1990,,"1.78 m / 5' 10""",,,
222,Marcos Rojo,,20-Mar-1990,,"1.84 m / 6' 0""",,,
223,Milan Badelj,,25-Feb-1989,,"1.86 m / 6' 1""",,,
224,Gylfi Sigurdsson,,08-Sep-1989,,"1.85 m / 6' 0""",,,
225,Paulinho,,25-Jul-1988,,"1.80 m / 5' 10""",,,
226,Blerim Dzemaili,,12-Apr-1986,,"1.79 m / 5' 10""",,,
227,Kendall Waston,,01-Ene-1988,,"1.96 m / 6' 5""",,,
228,Josip Drmic,,08-Ago-1992,,"1.84 m / 6' 0""",,,
229,Yann Sommer (en contra),,,,,,,
230,Ludwig Augustinsson,,21-Apr-1994,,"1.81 m / 5' 11""",,,
231,Edson Álvarez (en contra),,,,,,,
232,Adnan Januzaj,,05-Feb-1995,,"1.80 m / 5' 10""",,,
233,Yassine Meriah (en contra),,,,,,,
234,Fakhreddine Ben Youssef,,23-Jun-1991,,"1.92 m / 6' 3""",,,
235,Jan Bednarek,,12-Apr-1996,,"1.89 m / 6' 2""",,,
236,Gabriel Mercado,,17-Mar-1987,,"1.80 m / 5' 10""",,,
237,Benjamin Pavard,,28-Mar-1996,,"1.86 m / 6' 1""",,,
238,Sergei Ignashevich (en contra),,,,,,,
239,Mathias Jørgensen,,23-Apr-1990,,"1.91 m / 6' 3""",,,
240,Mario Mandzukic,,21-May-1986,,"1.87 m / 6' 1""",,,
241,Roberto Firmino,,02-Oct-1991,,"1.80 m / 5' 10""",,,
242,Genki Haraguchi,,09-May-1991,,"1.77 m / 5' 9""",,,
243,Jan Vertonghen,,24-Apr-1987,,"1.89 m / 6' 2""",,,
244,Marouane Fellaini,,22-Nov-1987,,"1.94 m / 6' 4""",,,
