cambio_id,partido_id,seleccion_id,jugador_sale_id,jugador_entra_id,minuto
1623,254,35,298,299,81
1624,254,35,2629,3284,86
1625,254,35,242,1944,93
1626,255,135,1816,1605,77
1627,255,135,36,2006,88
1628,255,1,332,3981,73
1629,255,1,399,183,81
1630,255,1,320,3979,91
1631,256,115,334,4007,71
1632,256,115,1715,1792,99
1633,256,115,396,4009,105
1634,256,35,2629,4138,60
1635,256,35,242,3563,87
1636,256,35,298,299,106
1637,257,1,1906,2100,72
1638,257,1,6,420,79
1639,257,1,486,1865,90+1
1640,257,22,2024,4159,66
1641,257,22,1869,2650,78
1642,257,22,437,3388,90+1
1643,258,119,1864,4172,67
1644,258,119,1863,4171,78
1645,258,119,4170,4173,83
1646,258,28,403,421,65
1647,258,28,1827,3679,69
1648,258,28,404,4184,83
1649,259,46,556,4194,56
1650,259,46,439,1913,83
1651,259,117,4047,4052,8
1652,259,117,4050,443,68
1653,259,117,4199,2496,82
1654,260,131,4212,4214,52
1655,260,131,4211,1917,66
1656,260,128,535,440,62
1657,260,128,4228,4230,78
1658,260,128,4229,1952,78
1659,261,5,406,3730,64
1660,261,5,407,1834,75
1661,261,5,4241,33,90+3
1662,261,23,447,446,55
1663,261,23,4249,425,62
1664,261,23,1920,4250,77
1665,262,126,4257,1836,43
1666,262,126,4259,444,46
1667,262,126,1875,4260,67
1668,262,115,1821,4267,60
1669,262,115,424,334,69
1670,262,115,1824,1820,86
1671,263,111,520,1925,46
1672,263,111,1731,410,46
1673,263,111,519,449,52
1674,263,50,2800,1882,63
1675,263,50,4279,4281,81
1676,265,53,466,1719,56
1677,265,53,427,361,64
1678,265,53,472,474,82
1679,265,39,4296,1933,46
1680,265,39,4004,4298,68
1681,265,39,283,4297,89
1682,266,36,1701,504,46
1683,266,36,1886,4305,46
1684,266,36,506,2091,77
1685,266,122,412,1842,45
1686,266,122,4313,1931,82
1687,266,122,413,4316,86
1688,267,6,3590,248,53
1689,267,6,460,3988,61
1690,267,6,1781,415,75
1691,267,55,4334,1848,56
1692,267,55,4336,4337,79
1693,267,55,1848,4338,90
1694,268,10,4,393,69
1695,268,24,461,4352,41
1696,268,24,4351,272,56
1697,269,37,468,1966,70
1698,269,37,4362,4363,84
1699,269,129,1853,4372,56
1700,269,129,4370,1607,75
1701,269,129,1939,4371,82
1702,270,21,1938,419,46
1703,270,21,562,1773,68
1704,270,21,4376,4377,83
1705,270,130,4387,4388,55
1706,270,130,4385,4390,62
1707,270,130,1898,4389,86
1708,271,35,298,493,55
1709,271,35,242,1942,55
1710,271,35,682,3563,77
1711,271,134,4407,4410,46
1712,271,134,2659,1948,46
1713,271,134,4408,434,64
1714,273,1,395,1865,64
1715,273,1,331,420,71
1716,273,1,475,1906,77
1717,273,119,1863,4177,77
1718,273,119,1909,4176,83
1719,273,119,4172,4173,90+1
1720,274,28,403,421,46
1721,274,28,4181,3679,69
1722,274,28,1632,4184,73
1723,274,22,1826,4166,29
1724,274,22,1912,4164,56
1725,274,22,1999,4165,84
1726,277,5,1834,423,17
1727,277,5,407,391,59
1728,277,5,422,1,75
1729,277,126,1873,4264,46
1730,277,126,1836,4260,50
1731,277,126,4259,4265,70
1732,278,115,1812,1820,46
1733,278,115,314,1792,50
1734,278,115,424,4267,73
1735,278,23,425,446,62
1736,278,23,385,4255,62
1737,278,23,4250,4249,73
1738,279,111,410,2069,52
1739,279,111,1731,449,74
1740,279,111,1880,4276,78
1741,279,2,4420,4424,68
1742,279,2,4419,4422,73
1743,279,2,1879,4423,83
1744,280,120,448,1957,67
1745,280,120,426,367,80
1746,280,120,1958,365,88
1747,280,50,2800,1929,65
1748,280,50,1882,4285,66
1749,280,50,409,451,88
1750,281,53,466,1930,35
1751,281,53,4288,474,54
1752,281,53,472,361,61
1753,281,36,4304,4307,52
1754,281,36,267,1779,62
1755,282,122,4312,1931,46
1756,282,122,4313,4316,56
1757,282,122,4315,4323,68
1758,282,39,1887,1890,46
1759,282,39,4004,1961,80
1760,282,39,283,4298,85
1761,283,10,1849,2104,72
1762,283,10,4,393,72
1763,283,10,429,294,88
1764,283,6,4329,3590,41
1765,283,6,248,462,56
1766,283,6,460,415,69
1767,284,55,4335,523,46
1768,284,55,4336,456,61
1769,284,55,1847,4338,85
1770,284,24,1851,272,70
1771,284,24,4349,7,78
1772,284,24,459,4360,87
1773,285,37,4362,468,60
1774,285,37,372,4363,88
1775,285,37,26,597,90+1
1776,285,21,562,559,46
1777,285,21,1896,4377,69
1778,285,21,418,419,72
1779,286,130,4394,1898,25
1780,286,130,4395,4387,69
1781,286,130,4386,4398,87
1782,286,129,4372,1728,46
1783,286,129,1855,1853,77
1784,286,129,431,4375,87
1785,288,3,4441,4444,55
1786,288,3,1902,4443,55
1787,288,3,1978,630,77
1788,288,134,434,4408,71
1789,288,134,4409,4407,79
1790,288,134,435,2658,86
1791,289,28,4191,4192,46
1792,289,28,1632,4189,63
1793,289,28,4190,4184,68
1794,289,1,6,1906,66
1795,289,1,402,420,66
1796,289,1,486,4156,73
1797,290,22,4159,4162,70
1798,290,22,2650,4166,78
1799,290,22,437,4164,82
1800,290,119,4170,4173,46
1801,290,119,1907,4177,64
1802,290,119,1828,4180,85
1803,291,128,1952,4229,54
1804,291,128,440,4238,75
1805,291,128,4228,4237,90+1
1806,291,46,556,1830,4
1807,291,46,555,487,56
1808,291,46,275,329,69
1809,292,117,1829,443,66
1810,292,117,1982,4202,77
1811,292,117,1984,4048,89
1812,292,131,1831,4222,31
1813,292,131,4214,4223,41
1814,292,131,1917,4221,67
1815,293,115,424,4011,56
1816,293,115,243,4267,67
1817,293,115,314,4271,86
1818,293,5,3889,4244,24
1819,293,5,1,1962,70
1820,293,5,4241,33,80
1821,294,23,3620,425,60
1822,294,23,1920,447,73
1823,294,126,1874,1873,16
1824,294,126,444,4259,67
1825,295,120,1924,1967,61
1826,295,120,2662,477,69
1827,295,120,1958,1926,80
1828,295,111,1733,410,46
1829,295,111,1880,1953,69
1830,295,111,4274,1731,80
1831,296,50,4279,1499,13
1832,296,50,4280,4285,39
1833,296,50,1884,4281,67
1834,296,2,4420,4431,23
1835,296,2,4421,450,51
1836,296,2,4419,4422,73
1837,297,122,4313,4316,46
1838,297,122,4324,4322,64
1839,297,122,4321,4325,78
1840,297,53,4289,452,17
1841,297,53,427,453,60
1842,297,53,1719,4294,74
1843,298,39,1890,1887,46
1844,298,39,4004,1961,59
1845,298,39,454,4297,80
1846,298,36,1843,4308,40
1847,298,36,1701,4305,61
1848,298,36,1932,4304,74
1849,299,55,4340,2029,56
1850,299,55,4341,1847,60
1851,299,55,1847,4338,66
1852,299,10,416,467,71
1853,299,10,518,4347,71
1854,299,10,4342,4343,82
1855,300,24,4349,4352,65
1856,300,24,272,7,74
1857,300,24,2073,4351,83
1858,300,6,1846,415,63
1859,300,6,4332,3590,71
1860,300,6,3983,3988,75
1861,302,129,463,1607,53
1862,302,129,1728,4371,71
1863,302,129,1939,1506,88
1864,302,21,3908,419,63
1865,302,21,373,559,66
1866,303,3,4442,1945,13
1867,303,3,630,4444,68
1868,303,3,4440,4450,81
1869,303,35,493,298,46
1870,303,35,3563,1825,66
1871,303,35,1943,299,70
1872,304,134,434,4410,55
1873,304,134,436,4407,75
1874,304,134,435,2658,88
1875,304,133,1947,4459,79
1876,304,133,4456,4458,79
1877,304,133,4455,2035,90+1
1878,305,1,475,1906,72
1879,305,1,331,420,74
1880,305,1,402,2100,85
1881,305,128,4230,4234,39
1882,305,128,1952,4229,52
1883,305,128,39,440,72
1884,306,5,406,391,75
1885,306,5,423,33,76
1886,306,5,407,1,84
1887,306,111,2162,520,38
1888,306,111,297,1880,66
1889,306,111,4276,410,74
1890,307,46,439,1703,77
1891,307,46,465,3932,87
1892,307,46,329,4194,92
1893,307,28,4183,4189,69
1894,307,28,403,421,72
1895,308,120,2,365,34
1896,308,120,527,1957,46
1897,308,120,1958,367,84
1898,308,115,1824,1792,56
1899,308,115,1821,1812,67
1900,308,115,601,4272,84
1901,309,53,427,361,46
1902,309,53,472,3663,56
1903,309,53,474,466,75
1904,309,6,4332,415,81
1905,310,129,1607,1725,34
1906,310,129,4370,1853,64
1907,310,129,431,4375,117
1908,310,134,436,4408,75
1909,310,134,4410,434,94
1910,310,134,4409,2658,111
1911,311,10,1849,2104,46
1912,311,10,429,457,61
1913,311,10,416,4347,83
1914,311,39,1961,1890,60
1915,311,39,4004,4297,70
1916,312,35,298,2665,54
1917,312,35,493,682,54
1918,312,35,1825,4402,72
1919,312,37,372,3879,74
1920,312,37,430,4362,88
1921,313,1,486,1865,62
1922,313,1,475,1906,74
1923,313,1,6,420,86
1924,313,5,4240,4242,71
1925,313,5,4241,423,72
1926,313,5,406,1962,79
1927,314,53,411,4294,68
1928,314,53,1719,4293,68
1929,314,53,1930,4288,77
1930,314,134,1905,4410,20
1931,314,134,433,1861,47
1932,314,134,2658,4416,72
1933,315,46,465,3932,52
1934,315,46,439,1830,65
1935,315,46,3932,1703,119
1936,315,120,527,365,63
1937,315,120,367,2661,74
1938,315,120,1958,2662,86
1939,316,10,457,429,63
1940,316,10,1892,4344,76
1941,316,10,416,393,79
1942,316,37,468,3879,77
1943,316,37,372,4362,81
1944,316,37,430,1966,86
1945,317,1,1906,475,73
1946,317,1,486,1865,83
1947,317,1,6,420,111
1948,317,53,472,427,74
1949,317,53,1719,361,91
1950,317,53,4290,474,104
1951,318,120,1924,1967,62
1952,318,120,527,365,68
1953,318,120,1883,2662,75
1954,318,37,372,4362,69
1955,318,37,468,3879,72
1956,318,37,430,1966,85
1957,319,1,6,420,65
1958,319,1,331,4155,71
1959,319,1,475,4154,79
1960,319,120,1883,1957,46
1961,319,120,1960,477,69
1962,319,120,527,1958,77
1963,321,37,2699,576,60
1964,321,37,4362,3888,81
1965,322,48,1969,1970,46
1966,322,48,4489,1971,77
1967,322,14,479,2055,69
1968,323,135,531,4511,80
1969,323,135,481,4510,87
1970,323,135,2006,530,88
1971,323,27,1974,2041,58
1972,323,27,4017,646,70
1973,323,27,640,1791,89
1974,324,1,2049,2101,46
1975,324,1,483,485,67
1976,324,1,6,420,76
1977,324,3,2188,4534,46
1978,324,3,1945,4443,46
1979,324,3,2010,4535,77
1980,325,46,465,4542,63
1981,325,46,4541,439,74
1982,325,128,2060,535,56
1983,325,128,440,4552,80
