anio,seleccion,seleccion_slug,jugador,jugador_slug,posicion,camiseta,fecha_nacimiento,altura,club,rol
1994,Colombia,colombia,Anthony De Avila,anthony_de_avila,DL,7,21-Dic-1962,,21-Dic-1962,jugador
1994,Colombia,colombia,Ivan Valenciano,ivan_valenciano,DL,9,18-Mar-1972,,18-Mar-1972,jugador
1994,Colombia,colombia,Adolfo Valencia,adolfo_valencia,DL,11,06-Feb-1968,,06-Feb-1968,jugador
1994,Colombia,colombia,Victor Aristizabal,victor_aristizabal,DL,16,09-Dic-1971,"1.76 m / 5' 9""","09-Dic-1971 1.76 m / 5' 9""",jugador
1994,Colombia,colombia,Faustino Asprilla,faustino_asprilla,DL,21,10-Nov-1969,"1.76 m / 5' 9""","10-Nov-1969 1.76 m / 5' 9""",jugador
1994,Colombia,colombia,Francisco Maturana,,DT,,,,,entrenador
1994,Estados Unidos,estados_unidos,Tony Meola,tony_meola,AR,1,21-Feb-1969,"1.85 m / 6' 0""","21-Feb-1969 1.85 m / 6' 0""",jugador
1994,Estados Unidos,estados_unidos,Juergen Sommer,juergen_sommer,AR,12,27-Feb-1969,,27-Feb-1969,jugador
1994,Estados Unidos,estados_unidos,Brad Friedel,brad_friedel,AR,18,18-May-1971,"1.93 m / 6' 3""","18-May-1971 1.93 m / 6' 3""",jugador
1994,Estados Unidos,estados_unidos,Michael Lapper,michael_lapper,DF,2,28-Ago-1970,,28-Ago-1970,jugador
1994,Estados Unidos,estados_unidos,Mike Burns,mike_burns,DF,3,14-Sep-1970,,14-Sep-1970,jugador
1994,Estados Unidos,estados_unidos,Cle Kooiman,cle_kooiman,DF,4,03-Jul-1963,,03-Jul-1963,jugador
1994,Estados Unidos,estados_unidos,Thomas Dooley,thomas_dooley,DF,5,12-May-1961,,12-May-1961,jugador
1994,Estados Unidos,estados_unidos,Marcelo Balboa,marcelo_balboa,DF,17,08-Ago-1967,,08-Ago-1967,jugador
1994,Estados Unidos,estados_unidos,Paul Caligiuri,paul_caligiuri,DF,20,09-Mar-1964,,09-Mar-1964,jugador
1994,Estados Unidos,estados_unidos,Fernando Clavijo,fernando_clavijo,DF,21,23-Ene-1956,,23-Ene-1956,jugador
1994,Estados Unidos,estados_unidos,Alexi Lalas,alexi_lalas,DF,22,01-Jun-1970,,01-Jun-1970,jugador
1994,Estados Unidos,estados_unidos,John Harkes,john_harkes,MC,6,08-Mar-1967,,08-Mar-1967,jugador
1994,Estados Unidos,estados_unidos,Hugo Perez,hugo_perez,MC,7,08-Nov-1963,,08-Nov-1963,jugador
1994,Estados Unidos,estados_unidos,Tab Ramos,tab_ramos,MC,9,21-Sep-1966,,21-Sep-1966,jugador
1994,Estados Unidos,estados_unidos,Cobi Jones,cobi_jones,MC,13,16-Jun-1970,"1.70 m / 5' 6""","16-Jun-1970 1.70 m / 5' 6""",jugador
1994,Estados Unidos,estados_unidos,Michael Sorber,michael_sorber,MC,16,14-May-1971,,14-May-1971,jugador
1994,Estados Unidos,estados_unidos,Claudio Reyna,claudio_reyna,MC,19,20-Jul-1973,"1.78 m / 5' 10""","20-Jul-1973 1.78 m / 5' 10""",jugador
1994,Estados Unidos,estados_unidos,Earnie Stewart,earnie_stewart,DL,8,28-Mar-1969,"1.75 m / 5' 8""","28-Mar-1969 1.75 m / 5' 8""",jugador
1994,Estados Unidos,estados_unidos,Roy Wegerle,roy_wegerle,DL,10,19-Mar-1964,,19-Mar-1964,jugador
1994,Estados Unidos,estados_unidos,Eric Wynalda,eric_wynalda,DL,11,09-Jun-1969,,09-Jun-1969,jugador
1994,Estados Unidos,estados_unidos,Frank Klopas,frank_klopas,DL,14,01-Sep-1966,,01-Sep-1966,jugador
1994,Estados Unidos,estados_unidos,Joe Max Moore,joe_max_moore,DL,15,23-Feb-1971,"1.75 m / 5' 8""","23-Feb-1971 1.75 m / 5' 8""",jugador
1994,Estados Unidos,estados_unidos,Bora Milutinovic,,DT,,,,,entrenador
