tarjeta_id,partido_id,seleccion_id,jugador_id,tipo,minuto
2191,587,27,2478,amarilla,36
2192,587,1,2479,amarilla,48
2193,587,1,2480,amarilla,51
2194,587,27,2478,roja,88
2195,588,83,2481,roja,1
2196,588,83,2482,amarilla,32
2197,588,32,870,amarilla,48
2198,588,32,2483,amarilla,62
2199,588,83,2446,amarilla,72
2200,588,83,2416,amarilla,87
2201,589,12,2484,amarilla,65
2202,590,11,2485,amarilla,58
2203,591,67,2459,amarilla,13
2204,591,67,896,amarilla,30
2205,591,67,804,amarilla,32
2206,591,10,726,amarilla,36
2207,591,10,832,amarilla,83
2208,592,5,2452,amarilla,30
2209,592,83,2367,amarilla,35
2210,592,5,840,amarilla,49
2211,592,83,2486,amarilla,58
2212,592,83,2487,amarilla,68
2213,592,5,2488,amarilla,83
2214,592,83,2489,amarilla,85
2215,593,58,2490,amarilla,29
2216,593,58,2454,amarilla,65
2217,594,53,2491,amarilla,16
2218,594,37,2468,amarilla,40
2219,594,53,2492,amarilla,67
2220,595,27,2493,amarilla,26
2221,595,35,654,amarilla,27
2222,595,35,2494,amarilla,32
2223,595,35,747,amarilla,60
2224,596,46,2495,amarilla,37
2225,596,65,2496,amarilla,60
2226,596,46,2497,amarilla,67
2227,599,12,829,amarilla,24
2228,599,35,2498,amarilla,39
2229,599,35,825,amarilla,44
2230,599,12,2251,amarilla,115
2231,600,46,2439,amarilla,9
2232,600,5,2384,amarilla,60
2233,601,12,820,amarilla,27
2234,601,5,781,amarilla,33
2235,602,1,2499,amarilla,59
2236,602,37,800,amarilla,89
2237,603,12,2500,amarilla,63
2238,604,5,9,amarilla,17
2239,604,1,19,amarilla,21
2240,604,1,2501,amarilla,62
2241,604,5,2423,amarilla,77
2242,604,5,2502,amarilla,81
2243,604,5,2488,amarilla,85
2244,605,12,2503,amarilla,50
2245,605,5,866,amarilla,55
2246,607,53,2504,amarilla,1
2247,607,67,896,amarilla,10
2248,607,53,2471,amarilla,47
2249,608,14,2372,amarilla,80
2250,610,43,852,amarilla,32
2251,610,43,850,amarilla,
2252,611,1,908,amarilla,57
2253,611,4,857,amarilla,83
2254,613,46,2440,amarilla,34
2255,615,49,793,amarilla,
2256,618,53,924,amarilla,52
2257,618,66,2505,amarilla,76
2258,620,67,2506,amarilla,34
2259,620,14,2507,amarilla,40
2260,620,14,702,amarilla,80
2261,621,30,2508,amarilla,17
2262,621,30,2509,amarilla,74
2263,623,85,2510,amarilla,35
2264,623,85,2511,amarilla,78
2265,623,35,915,amarilla,80
2266,623,35,2512,amarilla,87
2267,624,70,2513,amarilla,40
2268,625,17,2514,amarilla,11
2269,625,17,2515,amarilla,29
2270,627,57,2516,amarilla,30
2271,627,37,839,amarilla,68
2272,627,57,2517,amarilla,85
2273,628,4,2442,amarilla,67
2274,629,32,892,amarilla,5
2275,630,12,2500,amarilla,65
2276,630,12,2518,amarilla,79
2277,631,66,947,amarilla,31
2278,632,53,2519,amarilla,36
2279,632,14,2520,amarilla,36
2280,633,30,2508,amarilla,20
2281,633,30,854,amarilla,26
2282,633,5,2521,amarilla,31
2283,633,5,2522,amarilla,44
2284,633,30,2523,amarilla,45
2285,636,37,839,amarilla,47
2286,636,70,864,amarilla,75
2287,636,70,2524,roja,87
2288,637,17,907,amarilla,
2289,638,35,464,amarilla,20
2290,638,49,910,amarilla,41
2291,638,49,2444,amarilla,42
2292,638,49,2477,roja,62
2293,639,7,887,amarilla,32
2294,639,7,912,amarilla,32
2295,640,46,863,amarilla,43
2296,640,57,2525,amarilla,44
2297,641,7,954,amarilla,60
2298,642,67,804,amarilla,48
2299,643,1,2526,amarilla,68
2300,645,72,2527,amarilla,
2301,646,7,2528,amarilla,86
2302,647,5,902,amarilla,33
2303,647,10,2529,amarilla,77
2304,647,5,9,roja,85
2305,647,10,872,amarilla,85
2306,648,35,2530,amarilla,9
2307,648,35,2494,amarilla,83
2308,648,35,2531,amarilla,84
2309,648,1,2501,amarilla,84
2310,648,1,914,amarilla,
2311,649,37,812,amarilla,57
2312,649,49,910,amarilla,59
2313,650,67,897,amarilla,65
2314,650,72,2532,amarilla,87
2315,650,67,896,amarilla,88
2316,650,72,875,amarilla,90
2317,650,72,890,amarilla,
2318,651,53,2533,amarilla,13
2319,651,53,2534,amarilla,78
2320,652,46,2453,amarilla,15
2321,653,37,916,amarilla,35
