anio,grupo,posicion,seleccion_id,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
1994,F,2,3,6,3,2,0,1,4,3,1,True
1994,F,3,12,6,3,2,0,1,2,1,1,True
1994,F,4,58,0,3,0,0,3,2,5,-3,False
1990,A,1,53,6,3,3,0,0,4,0,4,True
1990,A,2,122,4,3,2,0,1,6,3,3,True
1990,A,3,7,2,3,1,0,2,2,3,-1,False
1990,A,4,36,0,3,0,0,3,2,8,-6,False
1990,B,1,14,4,3,2,0,1,3,5,-2,True
1990,B,2,123,3,3,1,1,1,4,3,1,True
1990,B,3,5,3,3,1,1,1,3,2,1,True
1990,B,4,124,2,3,1,0,2,4,4,0,False
1990,C,1,10,6,3,3,0,0,4,1,3,True
1990,C,2,22,4,3,2,0,1,3,2,1,True
1990,C,3,32,2,3,1,0,2,2,3,-1,False
1990,C,4,128,0,3,0,0,3,3,6,-3,False
1990,D,1,1,5,3,2,1,0,10,3,7,True
1990,D,2,137,4,3,2,0,1,6,5,1,True
1990,D,3,19,3,3,1,1,1,3,2,1,True
1990,D,4,31,0,3,0,0,3,2,11,-9,False
1990,E,1,35,5,3,2,1,0,5,2,3,True
1990,E,2,12,4,3,2,0,1,6,3,3,True
1990,E,3,135,3,3,1,1,1,2,3,-1,True
1990,E,4,21,0,3,0,0,3,1,6,-5,False
1990,F,1,46,4,3,1,2,0,2,1,1,True
1990,F,2,48,3,3,0,3,0,2,2,0,True
1990,F,3,115,3,3,0,3,0,2,2,0,True
1990,F,4,29,2,3,0,2,1,1,2,-1,False
1986,A,1,5,5,3,2,1,0,6,2,4,True
1986,A,2,53,4,3,1,2,0,5,4,1,True
1986,A,3,11,2,3,0,2,1,2,4,-2,True
1986,A,4,21,1,3,0,1,2,4,7,-3,False
1986,B,1,111,5,3,2,1,0,4,2,2,True
1986,B,2,117,4,3,1,2,0,4,3,1,True
1986,B,3,12,3,3,1,1,1,5,5,0,True
1986,B,4,47,0,3,0,0,3,1,4,-3,False
1986,C,1,124,5,3,2,1,0,9,1,8,True
1986,C,2,37,5,3,2,1,0,5,1,4,True
1986,C,3,43,2,3,1,0,2,2,9,-7,False
1986,C,4,15,0,3,0,0,3,0,5,-5,False
1986,D,1,10,6,3,3,0,0,5,0,5,True
1986,D,2,35,4,3,2,0,1,5,2,3,True
1986,D,3,49,1,3,0,1,2,2,6,-4,False
1986,D,4,4,1,3,0,1,2,1,5,-4,False
1986,E,1,27,6,3,3,0,0,9,1,8,True
1986,E,2,1,3,3,1,1,1,3,4,-1,True
1986,E,3,135,2,3,0,2,1,2,7,-5,True
1986,E,4,32,1,3,0,1,2,1,3,-2,False
1986,F,1,58,4,3,1,2,0,3,1,2,True
1986,F,2,46,3,3,1,1,1,3,1,2,True
1986,F,3,119,3,3,1,1,1,1,3,-2,True
1986,F,4,120,2,3,1,0,2,2,4,-2,False
1982,A,1,119,4,3,1,2,0,5,1,4,True
1982,A,2,53,3,3,0,3,0,2,2,0,True
1982,A,3,14,3,3,0,3,0,1,1,0,False
1982,A,4,118,2,3,0,2,1,2,6,-4,False
1982,B,1,1,4,3,2,0,1,6,3,3,True
1982,B,2,7,4,3,2,0,1,3,1,2,True
1982,B,3,4,4,3,2,0,1,5,5,0,False
1982,B,4,17,0,3,0,0,3,3,8,-5,False
1982,C,1,12,5,3,2,1,0,3,1,2,True
1982,C,2,5,4,3,2,0,1,6,2,4,True
1982,C,3,43,3,3,1,1,1,12,6,6,False
1982,C,4,30,0,3,0,0,3,1,13,-12,False
1982,D,1,46,6,3,3,0,0,6,1,5,True
1982,D,2,37,3,3,1,1,1,6,5,1,True
1982,D,3,122,2,3,0,2,1,2,4,-2,False
1982,D,4,57,1,3,0,1,2,2,6,-4,False
1982,E,1,49,4,3,1,2,0,2,1,1,True
1982,E,2,35,3,3,1,1,1,3,3,0,True
1982,E,3,137,3,3,1,1,1,2,2,0,False
1982,E,4,42,2,3,0,2,1,2,3,-1,False
1982,F,1,10,6,3,3,0,0,10,2,8,True
1982,F,2,124,3,3,1,1,1,6,4,2,True
1982,F,3,32,3,3,1,1,1,8,8,0,False
1982,F,4,114,0,3,0,0,3,2,12,-10,False
1982,1,1,119,3,2,1,1,0,3,0,3,True
1982,1,2,124,3,2,1,1,0,1,0,1,False
1982,1,3,12,0,2,0,0,2,0,4,-4,False
1982,2,1,1,3,2,1,1,0,2,1,1,True
1982,2,2,46,2,2,0,2,0,0,0,0,False
1982,2,3,35,1,2,0,1,1,1,2,-1,False
1982,3,1,53,4,2,2,0,0,5,3,2,True
1982,3,2,10,2,2,1,0,1,5,4,1,False
1982,3,3,5,0,2,0,0,2,2,5,-3,False
1982,4,1,37,4,2,2,0,0,5,1,4,True
1982,4,2,7,1,2,0,1,1,2,3,-1,False
1982,4,3,49,1,2,0,1,1,3,6,-3,False
1978,A,1,115,5,3,2,1,0,9,4,5,True
1978,A,2,53,3,3,1,1,1,2,2,0,True
1978,A,3,1,2,3,0,2,1,4,5,-1,False
1978,A,4,7,2,3,1,0,2,4,8,-4,False
1978,B,1,5,5,3,2,1,0,8,0,8,True
1978,B,2,10,5,3,2,1,0,6,1,5,True
1978,B,3,119,2,3,1,0,2,2,5,-3,False
1978,B,4,118,0,3,0,0,3,0,10,-10,False
1978,1,1,53,6,3,3,0,0,6,2,4,True
1978,1,2,5,4,3,2,0,1,4,3,1,True
1978,1,3,37,2,3,1,0,2,5,5,0,False
1978,1,4,43,0,3,0,0,3,3,8,-5,False
1978,2,1,119,5,3,2,1,0,4,1,3,True
1978,2,2,1,4,3,1,2,0,6,0,6,True
1978,2,3,133,3,3,1,1,1,3,2,1,False
1978,2,4,111,0,3,0,0,3,2,12,-10,False
1978,3,1,7,4,3,2,0,1,3,2,1,True
1978,3,2,10,4,3,1,2,0,2,1,1,True
1978,3,3,35,3,3,1,1,1,2,2,0,False
1978,3,4,128,1,3,0,1,2,1,3,-2,False
1978,4,1,118,5,3,2,1,0,7,2,5,True
1978,4,2,115,3,3,1,1,1,5,3,2,True
1978,4,3,32,3,3,1,1,1,5,6,-1,False
1978,4,4,50,1,3,0,1,2,2,8,-6,False
1974,A,1,115,6,3,3,0,0,8,0,8,True
1974,A,2,10,4,3,2,0,1,3,3,0,True
1974,A,3,1,1,3,0,1,2,1,4,-3,False
1974,A,4,5,1,3,0,1,2,2,7,-5,False
1974,B,1,1,6,3,3,0,0,7,2,5,True
1974,B,2,119,4,3,2,0,1,3,2,1,True
1974,B,3,128,2,3,1,0,2,4,6,-2,False
1974,B,4,137,0,3,0,0,3,2,6,-4,False
1974,1,1,1,5,3,2,1,0,4,1,3,True
1974,1,2,1,4,3,2,0,1,4,1,3,True
1974,1,3,17,2,3,0,2,1,1,2,-1,False
1974,1,4,6,1,3,0,1,2,0,5,-5,False
1974,2,1,137,4,3,1,2,0,10,1,9,True
1974,2,2,10,4,3,1,2,0,3,0,3,True
1974,2,3,32,4,3,1,2,0,3,1,2,False
1974,2,4,138,0,3,0,0,3,0,14,-14,False
1974,3,1,115,5,3,2,1,0,6,1,5,True
1974,3,2,128,4,3,1,2,0,3,0,3,True
1974,3,3,11,2,3,0,2,1,2,5,-3,False
1974,3,4,135,1,3,0,1,2,1,6,-5,False
1974,4,1,119,6,3,3,0,0,12,3,9,True
1974,4,2,5,3,3,1,1,1,7,5,2,True
1974,4,3,53,3,3,1,1,1,5,4,1,False
1974,4,4,41,0,3,0,0,3,2,14,-12,False
1970,1,1,124,5,3,2,1,0,6,1,5,True
1970,1,2,111,5,3,2,1,0,5,0,5,True
1970,1,3,12,2,3,1,0,2,4,5,-1,False
1970,1,4,30,0,3,0,0,3,0,9,-9,False
1970,2,1,53,4,3,1,2,0,1,0,1,True
1970,2,2,135,3,3,1,1,1,2,1,1,True
1970,2,3,128,3,3,1,1,1,2,2,0,False
1970,2,4,52,2,3,0,2,1,1,3,-2,False
1970,3,1,10,6,3,3,0,0,8,3,5,True
1970,3,2,46,4,3,2,0,1,2,1,1,True
1970,3,3,123,2,3,1,0,2,4,5,-1,False
1970,3,4,122,0,3,0,0,3,2,7,-5,False
1970,4,1,1,6,3,3,0,0,10,4,6,True
1970,4,2,118,4,3,2,0,1,7,5,2,True
1970,4,3,11,1,3,0,1,2,5,9,-4,False
1970,4,4,58,1,3,0,1,2,2,6,-4,False
1966,1,1,46,5,3,2,1,0,4,0,4,True
1966,1,2,135,4,3,1,2,0,2,1,1,True
1966,1,3,111,2,3,0,2,1,1,3,-2,False
1966,1,4,37,1,3,0,1,2,2,5,-3,False
